product_id,title,handle,vendor,product_type,tags,created_at,published_at,product_url,image_url,variant_id,variant_title,sku,option1,option2,option3,price,compare_at_price,available,inventory_management,weight
14952881914228,Heavy Play ETB Playmat Art Masters - Lightning Bolt by Phil Stone,heavy-play-etb-playmat-art-masters-lightning-bolt-by-phil-stone,Other,Gaming Supplies,,2026-02-17T17:18:05-05:00,2026-02-18T13:40:17-05:00,https://facetofacegames.com/products/heavy-play-etb-playmat-art-masters-lightning-bolt-by-phil-stone,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/3bef879a52e69279cc24134d76421b53ae42b154_Asset_GAM_PLA_ETB_ART_PSLIGH.png?v=1771367585,53932690571636,Default Title,GAM-PLA-ETB-ART-PSLIGH,Default Title,,,89.99,89.99,False,,
14952881881460,Sleeve Kings Premium Board Game Sleeves - Standard American Size - 57mm X 89mm - 55ct,sleeve-kings-premium-board-game-sleeves-standard-american-size-57mm-x-89mm-55ct,Other,Gaming Supplies,,2026-02-17T17:18:05-05:00,2026-02-18T13:40:17-05:00,https://facetofacegames.com/products/sleeve-kings-premium-board-game-sleeves-standard-american-size-57mm-x-89mm-55ct,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/d8bfec41a02ffb1051c50362c6a50a6437ee86c6_Asset_GAM_SLE_SKS_9903.png?v=1771367585,53932690538868,Default Title,GAM-SLE-SKS-9903,Default Title,,,3.99,3.99,False,,
14952881848692,Heavy Play ETB Playmat Art Masters - Silence by Phil Stone,heavy-play-etb-playmat-art-masters-silence-by-phil-stone,Other,Gaming Supplies,,2026-02-17T17:18:05-05:00,2026-02-18T13:40:17-05:00,https://facetofacegames.com/products/heavy-play-etb-playmat-art-masters-silence-by-phil-stone,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/9d8191f88216d91694cf5865f783c9cd218390bd_Asset_GAM_PLA_ETB_ART_PSSILE.png?v=1771367585,53932690473332,Default Title,GAM-PLA-ETB-ART-PSSILE,Default Title,,,89.99,89.99,False,,
14952881815924,Heavy Play ETB Playmat Art Masters - Lotus by Chris Seaman,heavy-play-etb-playmat-art-masters-lotus-by-chris-seaman,Other,Gaming Supplies,,2026-02-17T17:18:05-05:00,2026-02-18T13:40:17-05:00,https://facetofacegames.com/products/heavy-play-etb-playmat-art-masters-lotus-by-chris-seaman,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/859a0adcb7447b62e4d9c6ee7d942b73b54e4300_Asset_GAM_PLA_ETB_ART_CSLOTU.png?v=1771367587,53932690506100,Default Title,GAM-PLA-ETB-ART-CSLOTU,Default Title,,,89.99,89.99,False,,
14952881783156,Heavy Play ETB Playmat Art Masters - Animate Dead by Phil Stone,heavy-play-etb-playmat-art-masters-animate-dead-by-phil-stone,Other,Gaming Supplies,,2026-02-17T17:18:05-05:00,2026-02-18T13:40:17-05:00,https://facetofacegames.com/products/heavy-play-etb-playmat-art-masters-animate-dead-by-phil-stone,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/30f9c6db275e258bb90bf9e6bbc6e2eda65c67dd_Asset_GAM_PLA_ETB_ART_PSANIM.png?v=1771367585,53932690440564,Default Title,GAM-PLA-ETB-ART-PSANIM,Default Title,,,89.99,89.99,False,,
14953000206708,The Last Ronin's Technique [12] [Teenage Mutant Ninja Turtles] [Non-Foil],the-last-ronins-technique-12-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-17T20:33:04-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/the-last-ronins-technique-12-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/d442c9213cb89c69d8b3285f06220586c63a4980_Asset_SIN_MTG_TMT_12_ENG_NF.jpg?v=1771444135,53932872204660,NM,SIN-MTG-TMT-12-ENG-NM-NF,NM,,,0.49,0.49,True,,
14953000206708,The Last Ronin's Technique [12] [Teenage Mutant Ninja Turtles] [Non-Foil],the-last-ronins-technique-12-teenage-mutant-ninja-turtles-non-foil,Magic,Singles,,2026-02-17T20:33:04-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/the-last-ronins-technique-12-teenage-mutant-ninja-turtles-non-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/d442c9213cb89c69d8b3285f06220586c63a4980_Asset_SIN_MTG_TMT_12_ENG_NF.jpg?v=1771444135,53932872237428,PL,SIN-MTG-TMT-12-ENG-PL-NF,PL,,,0.00,,False,,
14953000173940,The Last Ronin's Technique [12] [Teenage Mutant Ninja Turtles] [Foil],the-last-ronins-technique-12-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-17T20:33:04-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/the-last-ronins-technique-12-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/d1110248539263df86c1f13af3da98adbc060a65_Asset_SIN_MTG_TMT_12_ENG_F.jpg?v=1771444134,53932872139124,NM,SIN-MTG-TMT-12-ENG-NM-F,NM,,,0.49,0.49,True,,
14953000173940,The Last Ronin's Technique [12] [Teenage Mutant Ninja Turtles] [Foil],the-last-ronins-technique-12-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-17T20:33:04-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/the-last-ronins-technique-12-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/d1110248539263df86c1f13af3da98adbc060a65_Asset_SIN_MTG_TMT_12_ENG_F.jpg?v=1771444134,53932872171892,PL,SIN-MTG-TMT-12-ENG-PL-F,PL,,,0.00,,False,,
14928460120436,The Cloning of Shredder [60] [Teenage Mutant Ninja Turtles] [Foil],the-cloning-of-shredder-60-teenage-mutant-ninja-turtles-foil,Magic,Singles,,2026-02-03T16:48:42-05:00,2026-02-18T12:20:24-05:00,https://facetofacegames.com/products/the-cloning-of-shredder-60-teenage-mutant-ninja-turtles-foil,https://cdn.shopify.com/s/files/1/0574/4692/4324/files/4c64ecc39544a964ff71cf7145b036534146939d_Asset_SIN_MTG_TMT_60_ENG_F.jpg?v=1770155311,53880821186932,NM,SIN-MTG-TMT-60-ENG-NM-F,NM,,,12.99,12.99,True,,
